2026-01-16T20:36:10+01:00,cust_99,97.50,0.00,Skipped
2026-01-16T20:36:12+01:00,cust_99,97.50,0.00,Skipped
2026-01-16T20:36:14+01:00,cust_99,97.50,0.00,Skipped
2026-01-16T20:36:16+01:00,cust_99,97.50,0.00,Skipped
2026-01-16T20:36:18+01:00,cust_99,97.50,0.00,Skipped
2026-01-16T20:36:20+01:00,cust_99,97.50,0.00,Skipped
2026-01-16T20:36:22+01:00,cust_99,97.50,0.00,Skipped
2026-01-16T20:36:24+01:00,cust_99,97.50,0.00,Skipped
2026-01-16T20:36:26+01:00,cust_99,97.50,0.00,Skipped
2026-01-16T20:36:28+01:00,cust_99,97.50,0.00,Skipped
2026-01-16T20:36:30+01:00,cust_99,97.50,0.00,Skipped
2026-01-16T20:36:32+01:00,cust_99,97.50,0.00,Skipped
2026-01-16T20:36:34+01:00,cust_99,97.50,0.00,Skipped
2026-01-16T20:36:36+01:00,cust_99,97.50,0.00,Skipped
2026-01-16T20:36:38+01:00,cust_99,97.50,0.00,Skipped
2026-01-16T20:36:40+01:00,cust_99,97.50,0.00,Skipped
2026-01-16T20:36:42+01:00,cust_99,97.50,0.00,Skipped
2026-01-16T20:36:44+01:00,cust_99,97.50,0.00,Skipped
2026-01-16T20:36:46+01:00,cust_99,97.50,0.00,Skipped
2026-01-16T20:36:48+01:00,cust_99,97.50,0.00,Skipped
2026-01-16T20:36:50+01:00,cust_99,97.50,0.00,Skipped
2026-01-16T20:36:52+01:00,cust_99,97.50,0.00,Skipped
2026-01-16T20:36:54+01:00,cust_99,97.50,0.00,Skipped
2026-01-16T20:36:56+01:00,cust_99,97.50,0.00,Skipped
2026-01-16T20:36:58+01:00,cust_99,97.50,0.00,Skipped
2026-01-16T20:37:00+01:00,cust_99,97.50,0.00,Skipped
2026-01-16T20:37:02+01:00,cust_99,97.50,0.00,Skipped
2026-01-16T20:37:04+01:00,cust_99,97.50,0.00,Skipped
2026-01-16T20:37:06+01:00,cust_99,97.50,0.00,Skipped
2026-01-16T20:37:08+01:00,cust_99,97.50,0.00,Skipped
2026-01-16T20:37:10+01:00,cust_99,97.50,0.00,Skipped
2026-01-16T20:37:12+01:00,cust_99,97.50,0.00,Skipped
2026-01-16T20:37:14+01:00,cust_99,97.50,0.00,Skipped
2026-01-16T20:37:16+01:00,cust_99,97.50,0.00,Skipped
2026-01-16T20:37:18+01:00,cust_99,97.50,0.00,Skipped
2026-01-16T20:37:20+01:00,cust_99,97.50,0.00,Skipped
2026-01-16T21:37:12+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:37:14+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:37:16+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:37:18+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:37:20+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:37:22+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:37:24+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:37:26+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:37:28+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:37:30+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:37:32+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:37:34+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:37:36+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:37:37+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:37:38+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:37:39+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:37:40+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:37:41+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:37:42+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:37:43+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:37:44+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:37:45+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:37:46+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:37:47+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:37:48+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:37:49+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:37:50+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:37:51+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:37:52+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:37:53+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:37:54+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:37:55+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:37:56+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:37:57+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:37:58+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:37:59+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:38:00+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:38:01+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:38:02+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:38:03+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:38:04+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:38:05+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:38:06+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:38:07+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:38:08+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:38:09+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:38:10+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:38:11+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:38:12+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:38:13+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:38:14+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:38:15+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:38:16+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:38:17+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:38:18+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:38:19+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:38:20+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:38:21+01:00,user_1,60.00,0.00,Skipped,normal
