timestamp,event_id,level,event_type,user_id_hash,customer_id_hash,action,resource,outcome,reason,ip_address,data_accessed,retention_days
2026-01-20T06:42:22+01:00,946c47858d3eb976,CRITICAL,consent_change,,ed6eba619dba53afb5648b297e7a6ad7,update_consent,marketing,GRANTED,User consent update,[::1]:50907,,2555
2026-01-20T06:42:29+01:00,9e70fa0872cba214,CRITICAL,data_subject_request,,ed6eba619dba53afb5648b297e7a6ad7,create_request,ACCESS,PENDING,GDPR/CCPA data subject request initiated,,,2555
2026-01-20T06:46:58+01:00,9a240ef0d231a969,SECURITY,user_access,bbc5e661e106c6dcd8dc6dd186454c2f,,validate_bid,,PROCESSING,ISO 27001 A.9.2.1 - User Access Control,,,2555
2026-01-20T06:46:59+01:00,338cac2c0a156ba7,INFO,bid_validation,,bbc5e661e106c6dcd8dc6dd186454c2f,validate_bid,ltv_prediction,APPROVED,Within safe parameters,,[customer_id predicted_ltv],2555
2026-01-20T06:50:08+01:00,f8d40127b2d93469,CRITICAL,consent_change,,b7f34ea5d928c491d4e15ed8445043ff,update_consent,analytics,GRANTED,User consent update,10.0.0.10,,2555
2026-01-20T06:50:13+01:00,8db7347a72ba9a50,CRITICAL,data_subject_request,,b7f34ea5d928c491d4e15ed8445043ff,create_request,ACCESS,PENDING,GDPR/CCPA data subject request initiated,,,2555
2026-01-20T06:55:41+01:00,5bea34c6ad72180c,SECURITY,user_access,bbc5e661e106c6dcd8dc6dd186454c2f,,validate_bid,,PROCESSING,ISO 27001 A.9.2.1 - User Access Control,,,2555
2026-01-20T06:55:42+01:00,ffcb6f18d133b180,INFO,bid_validation,,bbc5e661e106c6dcd8dc6dd186454c2f,validate_bid,ltv_prediction,APPROVED,Within safe parameters,,[customer_id predicted_ltv],2555
2026-01-20T06:55:42+01:00,380ac9a31df367b6,SECURITY,user_access,bbc5e661e106c6dcd8dc6dd186454c2f,,validate_bid,,PROCESSING,ISO 27001 A.9.2.1 - User Access Control,,,2555
2026-01-20T06:55:42+01:00,d435d481f7e757f5,INFO,bid_validation,,bbc5e661e106c6dcd8dc6dd186454c2f,validate_bid,ltv_prediction,APPROVED,Within safe parameters,,[customer_id predicted_ltv],2555
2026-01-20T06:55:42+01:00,d562a76c3d20d3a9,SECURITY,user_access,bbc5e661e106c6dcd8dc6dd186454c2f,,validate_bid,,PROCESSING,ISO 27001 A.9.2.1 - User Access Control,,,2555
2026-01-20T06:55:42+01:00,2858468c36d33ff1,INFO,bid_validation,,bbc5e661e106c6dcd8dc6dd186454c2f,validate_bid,ltv_prediction,APPROVED,Within safe parameters,,[customer_id predicted_ltv],2555
2026-01-20T06:55:42+01:00,30c8e321348368b3,SECURITY,user_access,bbc5e661e106c6dcd8dc6dd186454c2f,,validate_bid,,PROCESSING,ISO 27001 A.9.2.1 - User Access Control,,,2555
2026-01-20T06:55:42+01:00,ff1cf34397c036b1,INFO,bid_validation,,bbc5e661e106c6dcd8dc6dd186454c2f,validate_bid,ltv_prediction,APPROVED,Within safe parameters,,[customer_id predicted_ltv],2555
2026-01-20T06:55:51+01:00,7fa0c78ffe8d49a0,SECURITY,user_access,bbc5e661e106c6dcd8dc6dd186454c2f,,validate_bid,,PROCESSING,ISO 27001 A.9.2.1 - User Access Control,,,2555
2026-01-20T06:55:52+01:00,ecc830e8488dd633,INFO,bid_validation,,bbc5e661e106c6dcd8dc6dd186454c2f,validate_bid,ltv_prediction,APPROVED,Within safe parameters,,[customer_id predicted_ltv],2555
2026-01-20T06:55:52+01:00,f38ff47573bc5eab,SECURITY,user_access,bbc5e661e106c6dcd8dc6dd186454c2f,,validate_bid,,PROCESSING,ISO 27001 A.9.2.1 - User Access Control,,,2555
